arya stark, Season 2, Episode 9, 0
arya stark, Season 2, Episode 10, 12
arya stark, Season 3, Episode 1, 0
arya stark, Season 3, Episode 2, 20
arya stark, Season 3, Episode 3, 11
arya stark, Season 3, Episode 4, 2
arya stark, Season 3, Episode 5, 22
arya stark, Season 3, Episode 6, 13
arya stark, Season 3, Episode 7, 8
arya stark, Season 3, Episode 8, 6
arya stark, Season 3, Episode 9, 14
arya stark, Season 3, Episode 10, 8
arya stark, Season 4, Episode 1, 18
arya stark, Season 4, Episode 2, 0
arya stark, Season 4, Episode 3, 19
arya stark, Season 4, Episode 4, 0
arya stark, Season 4, Episode 5, 17
arya stark, Season 4, Episode 6, 0
arya stark, Season 4, Episode 7, 13
arya stark, Season 4, Episode 8, 10
arya stark, Season 4, Episode 9, 0
arya stark, Season 4, Episode 10, 25
arya stark, Season 5, Episode 1, 0
arya stark, Season 5, Episode 2, 15
arya stark, Season 5, Episode 3, 14
arya stark, Season 5, Episode 4, 0
arya stark, Season 5, Episode 5, 0
arya stark, Season 5, Episode 6, 22
arya stark, Season 5, Episode 7, 0
arya stark, Season 5, Episode 8, 13
arya stark, Season 5, Episode 9, 5
arya stark, Season 5, Episode 10, 10
arya stark, Season 6, Episode 1, 2
arya stark, Season 6, Episode 2, 2
arya stark, Season 6, Episode 3, 14
arya stark, Season 6, Episode 4, 0
arya stark, Season 6, Episode 5, 11
arya stark, Season 6, Episode 6, 9
arya stark, Season 6, Episode 7, 5
arya stark, Season 6, Episode 8, 16
arya stark, Season 6, Episode 9, 0
arya stark, Season 6, Episode 10, 1
arya stark, Season 7, Episode 1, 12
arya stark, Season 7, Episode 2, 21
arya stark, Season 7, Episode 3, 0
arya stark, Season 7, Episode 4, 45
arya stark, Season 7, Episode 5, 15
arya stark, Season 7, Episode 6, 22
arya stark, Season 7, Episode 7, 12
arya stark, Season 8, Episode 1, 20
arya stark, Season 8, Episode 2, 33
arya stark, Season 8, Episode 3, 7
arya stark, Season 8, Episode 4, 0
arya stark, Season 8, Episode 5, 13
arya stark, Season 8, Episode 6, 9
barristan selmy, Season 1, Episode 1, 0
barristan selmy, Season 1, Episode 2, 0
barristan selmy, Season 1, Episode 3, 5
barristan selmy, Season 1, Episode 4, 0
barristan selmy, Season 1, Episode 5, 8
barristan selmy, Season 1, Episode 6, 1
barristan selmy, Season 1, Episode 7, 2
barristan selmy, Season 1, Episode 8, 6
barristan selmy, Season 1, Episode 9, 0
barristan selmy, Season 1, Episode 10, 0
barristan selmy, Season 2, Episode 1, 0
barristan selmy, Season 2, Episode 2, 0
barristan selmy, Season 2, Episode 3, 0
barristan selmy, Season 2, Episode 4, 0
barristan selmy, Season 2, Episode 5, 0
barristan selmy, Season 2, Episode 6, 0
barristan selmy, Season 2, Episode 7, 0
barristan selmy, Season 2, Episode 8, 0
barristan selmy, Season 2, Episode 9, 0
barristan selmy, Season 2, Episode 10, 0
barristan selmy, Season 3, Episode 1, 0
barristan selmy, Season 3, Episode 2, 0
barristan selmy, Season 3, Episode 3, 0
barristan selmy, Season 3, Episode 4, 0
barristan selmy, Season 3, Episode 5, 0
barristan selmy, Season 3, Episode 6, 0
barristan selmy, Season 3, Episode 7, 0
barristan selmy, Season 3, Episode 8, 0
barristan selmy, Season 3, Episode 9, 0
barristan selmy, Season 3, Episode 10, 0
barristan selmy, Season 4, Episode 1, 0
barristan selmy, Season 4, Episode 2, 0
barristan selmy, Season 4, Episode 3, 3
barristan selmy, Season 4, Episode 4, 1
barristan selmy, Season 4, Episode 5, 0
barristan selmy, Season 4, Episode 6, 0
barristan selmy, Season 4, Episode 7, 0
barristan selmy, Season 4, Episode 8, 0
barristan selmy, Season 4, Episode 9, 0
barristan selmy, Season 4, Episode 10, 0
barristan selmy, Season 5, Episode 1, 0
barristan selmy, Season 5, Episode 2, 0
barristan selmy, Season 5, Episode 3, 0
barristan selmy, Season 5, Episode 4, 0
barristan selmy, Season 5, Episode 5, 0
barristan selmy, Season 5, Episode 6, 0
barristan selmy, Season 5, Episode 7, 0
barristan selmy, Season 5, Episode 8, 0
barristan selmy, Season 5, Episode 9, 0
barristan selmy, Season 5, Episode 10, 0
