styr
pypar
grenn
polliver
doreah
yara_greyjoy
vardis_egen
rickon_stark
rast
craster
mord
jeor_mormont
robin_arryn
rickard_karstark
waif
anguy
sansa_stark
orell
ygritte
beric_dondarrion
lysa_arryn
cersei_lannister
hodor
tickler
bran_stark
arya_stark
roose_bolton
rakharo
eddard_stark
stannis_baratheon
mirri_maz_duur
gendry_baratheon
benjen_stark
olly
mace_tyrell
robert_baratheon
renly_baratheon
tyrion_lannister
kovarro
illyrio_mopatis
othell_yarwyck
jorah_mormont
viserys_targaryen
khal_drogo
margaery_tyrell
lancel_lannister
missandei
janos_slynt
yoren
kevan_lannister
lyanna_mormont
rorge
theon_greyjoy
yohn_royce
oberyn_martell
maester_pycelle
jon_snow
hizdahr_zo_loraq
maester_wolkan
daario_naharis
daenerys_targaryen
melisandre
varys
syrio_forel
qotho
grey_worm
maester_luwin
jory_cassel
gilly
catelyn_stark
rodrik_cassel
loras_tyrell
petyr_baelish
osha
shae
euron_greyjoy
robb_stark
olenna_tyrell
harrag
lord_of_bones
bronn
barristan_selmy
meryn_trant
qyburn
alliser_thorne
walder_frey
sandor_clegane
jaime_lannister
myrcella_baratheon
karl_tanner
ros
locke
ramsay_bolton
tywin_lannister
