episode,dialogue_count
1,14
2,0
3,5
4,6
5,21
6,8
7,0
8,0
9,0
10,8
11,8
12,0
13,4
14,0
15,14
16,19
17,5
18,0
19,0
20,4
21,0
22,22
23,0
24,4
25,0
26,8
27,4
28,0
29,30
30,17
31,0
32,5
33,0
34,10
35,20
36,0
37,0
38,0
39,0
40,7
41,0
42,0
43,0
44,0
45,0
46,0
47,8
48,0
49,0
50,0
51,0
52,16
53,17
54,0
55,9
56,6
57,0
58,0
59,0
60,2
61,1
62,0
63,9
64,27
65,2
66,0
67,17
68,5
69,17
70,5
71,4
72,0
73,11
