episode,dialogue_count
1,13
2,11
3,4
4,19
5,6
6,18
7,0
8,19
9,2
10,7
11,6
12,0
13,16
14,2
15,0
16,11
17,13
18,0
19,32
20,3
21,11
22,19
23,0
24,0
25,9
26,12
27,11
28,14
29,0
30,11
31,12
32,2
33,7
34,11
35,26
36,0
37,27
38,12
39,0
40,0
41,6
42,10
43,12
44,15
45,13
46,15
47,14
48,10
49,0
50,1
51,5
52,9
53,0
54,25
55,34
56,0
57,9
58,0
59,21
60,12
61,28
62,9
63,19
64,29
65,17
66,18
67,32
68,21
69,17
70,7
71,0
72,0
73,10
