episode,dialogue_count
1,3
2,4
3,0
4,0
5,1
6,0
7,0
8,1
9,0
10,4
11,1
12,0
13,0
14,2
15,0
16,4
17,5
18,0
19,21
20,0
21,0
22,3
23,3
24,16
25,4
26,0
27,1
28,9
29,19
30,3
31,28
32,0
33,23
34,0
35,18
36,0
37,20
38,11
39,0
40,14
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,4
71,3
72,14
73,0
